Node,Score,Rank
107,0.27521639,1.0
247,0.210384991,2.0
111,0.198866332,3.0
97,0.187612919,4.0
221,0.184098459,5.0
233,0.180926424,6.0
141,0.180176217,7.0
96,0.177306878,8.0
258,0.166616671,9.0
250,0.164678772,10.0
121,0.162238595,11.0
259,0.153250606,12.0
245,0.149195222,13.0
378,0.140494358,14.0
491,0.137602508,15.0
406,0.1343736,16.0
15,0.13320308,17.0
246,0.125641092,18.0
226,0.124466702,19.0
14,0.123713228,20.0
249,0.123654762,21.0
493,0.122390392,22.0
11,0.115438323,23.0
9,0.114669092,24.0
228,0.111570138,25.0
7,0.110437568,26.0
237,0.106725812,27.0
240,0.106506082,28.0
230,0.10234169,29.0
235,0.102340987,30.0
364,0.102185494,31.0
120,0.099575411,32.0
66,0.095113384,33.0
117,0.093505084,34.0
167,0.09150487,35.0
610,0.088377098,36.0
89,0.087229637,37.0
25,0.086823564,38.0
65,0.086184696,39.0
162,0.082962635,40.0
26,0.082358231,41.0
23,0.079756426,42.0
62,0.07964356,43.0
78,0.07672964,44.0
438,0.075995658,45.0
63,0.075754124,46.0
366,0.074827158,47.0
149,0.074026297,48.0
383,0.07363189,49.0
75,0.072126316,50.0
227,0.069365881,51.0
151,0.069325108,52.0
229,0.067752323,53.0
265,0.063251217,54.0
52,0.054622381,55.0
244,0.054606898,56.0
263,0.054546056,57.0
241,0.053913437,58.0
69,0.053771718,59.0
598,0.052917015,60.0
242,0.052467854,61.0
146,0.052164362,62.0
451,0.051537331,63.0
224,0.050028474,64.0
382,0.048894948,65.0
68,0.047973971,66.0
629,0.047367005,67.0
223,0.047291823,68.0
396,0.046729604,69.0
234,0.046032851,70.0
603,0.043329251,71.0
615,0.042634857,72.0
147,0.041460557,73.0
513,0.040784249,74.0
33,0.040285306,75.0
616,0.039496073,76.0
148,0.037968137,77.0
225,0.037069077,78.0
501,0.036769044,79.0
542,0.036761134,80.0
497,0.035952577,81.0
503,0.035441915,82.0
166,0.035272611,83.0
619,0.034399622,84.0
6,0.034042125,85.0
373,0.033792558,86.0
538,0.033398076,87.0
289,0.033143029,88.0
222,0.032642894,89.0
499,0.03252945,90.0
27,0.032475484,91.0
126,0.03223491,92.0
525,0.031652885,93.0
478,0.030325446,94.0
243,0.029889913,95.0
165,0.029166323,96.0
150,0.028813713,97.0
521,0.028802041,98.0
256,0.02852759,99.0
394,0.028442617,100.0
626,0.028187589,101.0
140,0.027708196,102.0
376,0.026695161,103.0
522,0.026213908,104.0
388,0.026198849,105.0
567,0.026061446,106.0
442,0.02588887,107.0
74,0.025883605,108.0
109,0.025566714,109.0
372,0.025289172,110.0
369,0.024719539,111.0
110,0.024257342,112.0
195,0.02358981,113.0
529,0.023485464,114.0
48,0.023228817,115.0
509,0.023188723,116.0
16,0.023063401,117.0
398,0.022995831,118.0
568,0.022159917,119.0
257,0.021444306,120.0
271,0.021178097,121.0
562,0.021162685,122.0
44,0.020996945,123.0
569,0.020878292,124.0
163,0.020751321,125.0
2,0.020676507,126.0
500,0.02059192,127.0
367,0.02046396,128.0
498,0.020364352,129.0
492,0.02035894,130.0
409,0.020308986,131.0
92,0.020211956,132.0
546,0.01995358,133.0
377,0.01931116,134.0
407,0.01923007,135.0
504,0.018978395,136.0
558,0.018951587,137.0
43,0.018799184,138.0
403,0.018769044,139.0
352,0.018656468,140.0
293,0.01857934,141.0
88,0.018414865,142.0
385,0.018335419,143.0
269,0.018205389,144.0
260,0.018120338,145.0
188,0.01810067,146.0
544,0.017895156,147.0
439,0.017882775,148.0
428,0.017579514,149.0
180,0.017466329,150.0
599,0.01699612,151.0
42,0.016991183,152.0
381,0.016882868,153.0
494,0.016715665,154.0
565,0.016087785,155.0
279,0.016052597,156.0
613,0.015625642,157.0
40,0.015571574,158.0
119,0.01551916,159.0
523,0.015420083,160.0
220,0.015371974,161.0
530,0.015305134,162.0
496,0.015029654,163.0
405,0.014959722,164.0
570,0.014958762,165.0
512,0.014904301,166.0
519,0.014897408,167.0
29,0.014703484,168.0
520,0.014580552,169.0
384,0.014450588,170.0
5,0.014357866,171.0
60,0.014167962,172.0
201,0.014156236,173.0
539,0.014152307,174.0
203,0.014135444,175.0
46,0.014067998,176.0
411,0.014056563,177.0
153,0.013987918,178.0
113,0.013955886,179.0
251,0.013819221,180.0
10,0.013765482,181.0
252,0.01332567,182.0
380,0.013290109,183.0
4,0.013233743,184.0
298,0.01303421,185.0
91,0.012957344,186.0
434,0.012828191,187.0
86,0.012754638,188.0
370,0.012579087,189.0
299,0.012568876,190.0
253,0.012543716,191.0
1,0.012489929,192.0
77,0.012303604,193.0
191,0.011933703,194.0
326,0.011550404,195.0
426,0.011488691,196.0
657,0.011475831,197.0
471,0.011475583,198.0
532,0.011398107,199.0
208,0.01138411,200.0
622,0.011371373,201.0
94,0.011214322,202.0
427,0.011209825,203.0
540,0.011075199,204.0
441,0.010825658,205.0
505,0.010808609,206.0
64,0.010681335,207.0
145,0.010599251,208.0
270,0.010521067,209.0
482,0.010439292,210.0
524,0.010439079,211.0
136,0.0103518,212.0
671,0.010338957,213.0
87,0.010294812,214.0
236,0.010253008,215.0
41,0.01020448,216.0
98,0.010197509,217.0
254,0.01015866,218.0
487,0.010091386,219.0
13,0.010047112,220.0
303,0.010043387,221.0
99,0.010018504,222.0
660,0.009996972,223.0
548,0.009936646,224.0
573,0.009832018,225.0
368,0.009814036,226.0
276,0.00977816,227.0
164,0.009777266,228.0
463,0.009748504,229.0
552,0.009685518,230.0
502,0.009415767,231.0
650,0.009380198,232.0
58,0.009372597,233.0
159,0.009344369,234.0
663,0.009325984,235.0
617,0.009268085,236.0
526,0.009191058,237.0
105,0.009116887,238.0
444,0.008922592,239.0
620,0.008918201,240.0
585,0.008914709,241.0
625,0.008683219,242.0
302,0.008551679,243.0
631,0.008454913,244.0
430,0.008430753,245.0
288,0.008386874,246.0
73,0.008211305,247.0
290,0.008194307,248.0
527,0.008110478,249.0
666,0.008084573,250.0
