Starting Node,Average Spreading Ability
1,2.47
2,3.06
3,1.84
4,2.72
5,3.19
6,3.55
7,3.04
8,1.98
9,2.21
10,2.88
11,2.22
12,1.68
13,2.78
14,3.7
15,3.64
16,3.89
17,2.49
18,3.21
19,3.34
20,2.75
21,2.51
22,2.26
23,3.86
24,2.53
25,5.09
26,5.76
27,5.61
28,5.19
29,5.26
30,5.5
31,5.25
32,2.4
33,2.86
34,1.99
35,2.99
36,2.06
37,3.17
38,3.38
39,2.54
40,3.39
41,4.08
42,2.79
43,2.86
44,2.98
45,2.39
46,6.58
47,8.58
48,13.94
49,2.8
50,3.98
51,5.67
52,8.96
53,6.49
54,2.36
55,2.62
56,2.62
57,2.71
58,3.16
59,3.34
60,3.63
61,3.43
62,4.49
63,3.65
64,4.84
65,4.24
66,4.66
67,2.2
68,1.98
69,2.79
70,4.05
71,2.88
72,4.23
73,3.86
74,3.04
75,3.92
76,2.33
77,3.92
78,2.6
79,2.29
80,2.32
81,2.13
82,2.29
83,1.96
84,2.16
85,2.24
86,3.01
87,3.64
88,3.11
89,3.64
90,3.07
91,3.25
92,4.18
93,2.31
94,2.39
95,2.13
96,4.38
97,4.26
98,2.84
99,2.51
100,2.3
101,1.67
102,1.41
103,2.67
104,1.75
105,3.97
106,2.0
107,8.11
108,3.77
109,3.1
110,2.68
111,5.02
112,2.08
113,3.8
114,2.33
115,2.96
116,2.36
117,4.47
118,3.19
119,5.37
120,7.32
121,4.75
122,4.26
123,4.11
124,4.07
125,3.26
126,4.89
127,5.15
128,4.27
129,8.74
130,4.6
131,3.13
132,8.71
133,8.4
134,8.04
135,10.71
136,4.45
137,3.83
138,4.82
139,2.57
140,7.06
141,8.1
142,6.97
143,4.56
144,5.08
145,8.39
146,6.17
147,7.48
148,5.8
149,6.91
150,6.21
151,5.56
152,6.08
153,7.3
154,6.01
155,6.26
156,5.4
157,3.85
158,7.23
159,6.03
160,4.19
161,3.92
162,7.7
163,4.11
164,5.56
165,4.95
166,6.46
167,6.16
168,3.71
169,3.8
170,3.66
171,4.71
172,4.41
173,5.36
174,6.08
175,5.77
176,10.72
177,12.85
178,5.46
179,7.15
180,7.69
181,6.88
182,6.92
183,5.28
184,3.54
185,9.45
186,13.21
187,3.65
188,3.32
189,2.89
190,6.65
191,6.97
192,5.78
193,6.15
194,6.61
195,6.09
196,3.62
197,8.9
198,11.09
199,5.47
200,13.58
201,7.72
202,11.54
203,14.48
204,7.14
205,13.78
206,13.88
207,11.35
208,9.56
209,10.27
210,9.38
211,4.37
212,9.56
213,5.3
214,3.78
215,9.8
216,8.49
217,8.3
218,10.73
219,11.59
220,2.75
221,3.63
222,2.93
223,1.99
224,1.9
225,2.29
226,2.55
227,2.19
228,2.28
229,3.23
230,2.34
231,2.63
232,1.53
233,2.8
234,5.24
235,4.94
236,2.99
237,7.47
238,2.5
239,2.8
240,3.61
241,5.16
242,3.22
243,3.93
244,5.37
245,4.42
246,5.93
247,2.74
248,1.76
249,12.67
250,2.11
251,5.82
252,13.32
253,13.85
254,14.21
255,7.35
256,17.61
257,6.54
258,3.38
259,5.67
260,3.14
261,1.49
262,3.21
263,4.41
264,2.87
265,8.43
266,4.5
267,2.01
268,2.32
269,6.31
270,3.71
271,3.3
272,2.27
273,3.71
274,3.0
275,3.44
276,3.78
277,3.68
278,3.64
279,6.41
280,4.85
281,2.02
282,3.83
283,3.61
284,4.76
285,3.92
286,3.23
287,3.51
288,8.52
289,8.27
290,7.25
291,8.64
292,7.98
293,4.97
294,4.43
295,7.5
296,7.56
297,5.86
298,7.02
299,5.64
300,4.24
301,2.92
302,7.29
303,6.29
304,6.23
305,6.39
306,6.06
307,3.51
308,3.68
309,2.91
310,2.88
311,4.78
312,3.62
313,3.92
314,3.45
315,5.61
316,3.84
317,3.83
318,3.15
319,2.62
320,1.87
321,12.77
322,8.4
323,9.74
324,9.26
325,10.25
326,13.21
327,10.11
328,14.1
329,16.14
330,7.57
331,7.56
332,6.93
333,9.91
334,15.14
335,12.1
336,13.28
337,2.88
338,12.18
339,11.29
340,10.76
341,12.86
342,13.31
343,11.24
344,7.08
345,7.75
346,6.78
347,7.73
348,5.01
349,11.6
350,12.0
351,4.68
352,3.77
353,4.04
354,5.68
355,3.27
356,2.19
357,4.31
358,2.38
359,2.14
360,3.43
361,3.28
362,2.94
363,3.43
364,19.18
365,9.19
366,9.59
367,9.39
368,15.64
369,13.62
370,14.39
371,10.76
372,15.84
373,13.45
374,9.19
375,13.77
376,13.51
377,8.44
378,7.59
379,6.39
380,7.59
381,5.61
382,9.03
383,13.36
384,13.28
385,8.99
386,9.01
387,11.16
388,15.73
389,6.85
390,8.73
391,5.82
392,5.75
393,13.73
394,13.98
395,7.2
396,16.02
397,5.93
398,10.37
399,4.87
400,6.75
401,4.4
402,3.42
403,6.13
404,4.18
405,3.99
406,4.68
407,3.64
408,3.2
409,4.97
410,6.66
411,6.46
412,2.54
413,5.61
414,2.07
415,4.91
416,2.72
417,5.01
418,5.46
419,6.57
420,5.56
421,5.79
422,5.02
423,8.27
424,7.36
425,3.49
426,3.44
427,3.38
428,3.68
429,4.43
430,7.46
431,6.48
432,4.94
433,3.08
434,5.59
435,5.23
436,3.82
437,3.98
438,6.72
439,7.98
440,14.87
441,13.63
442,6.33
443,3.35
444,7.52
445,4.48
446,1.82
447,2.2
448,4.11
449,4.31
450,7.24
451,7.55
452,4.72
453,7.88
454,9.87
455,10.49
456,6.27
457,8.48
458,5.1
459,14.37
460,9.1
461,5.28
462,11.5
463,9.92
464,1.94
465,3.92
466,7.07
467,8.16
