Node,Score,Rank
81,0.000362845,1.0
88,0.000361141,2.0
342,0.000361141,2.0
97,0.000358038,3.0
208,0.000357782,4.0
197,0.000354484,5.0
312,0.000353607,6.0
4,0.000352361,7.0
83,0.000352113,8.0
84,0.000351124,9.0
87,0.000351124,9.0
82,0.00034662,10.0
372,0.000345901,11.0
22,0.000345304,12.0
206,0.000343997,13.0
280,0.000343761,14.0
198,0.000341997,15.0
155,0.000337838,16.0
311,0.000337496,17.0
175,0.000336927,18.0
148,0.0003367,19.0
176,0.00033557,20.0
1,0.000335345,21.0
220,0.000333778,22.0
96,0.000333667,23.0
273,0.000333667,23.0
344,0.000332557,24.0
276,0.000332005,25.0
225,0.000331785,26.0
150,0.000331236,27.0
89,0.00033036,28.0
227,0.000330033,29.0
274,0.000329707,30.0
245,0.000328515,31.0
151,0.000328407,32.0
261,0.000327654,33.0
382,0.000326158,34.0
193,0.000325839,35.0
289,0.000325627,36.0
199,0.000325309,37.0
201,0.000324359,38.0
68,0.000324254,39.0
210,0.000323834,40.0
320,0.000323834,40.0
308,0.000322997,41.0
309,0.000322997,41.0
323,0.000322789,42.0
288,0.00032144,43.0
200,0.000321027,44.0
420,0.000320821,45.0
314,0.000320616,46.0
62,0.000320102,47.0
152,0.000319898,48.0
277,0.000319795,49.0
10,0.000319489,50.0
291,0.000319387,51.0
217,0.000319285,52.0
157,0.000319183,53.0
313,0.000318573,54.0
156,0.000318167,55.0
409,0.000318066,56.0
279,0.000317763,57.0
153,0.000317561,58.0
9,0.000317259,59.0
7,0.000316256,60.0
203,0.000316256,60.0
202,0.000316156,61.0
219,0.000315358,62.0
386,0.000315159,63.0
205,0.000315159,63.0
207,0.000314663,64.0
316,0.000314367,65.0
290,0.000314169,66.0
190,0.000313972,67.0
14,0.000313676,68.0
307,0.00031211,69.0
195,0.000311915,70.0
231,0.000311818,71.0
275,0.000311721,72.0
278,0.000311721,72.0
204,0.000310559,73.0
361,0.00031027,74.0
149,0.000310078,75.0
216,0.000309981,76.0
85,0.000309885,77.0
174,0.000309885,77.0
214,0.000309789,78.0
357,0.000309789,78.0
228,0.000309023,79.0
324,0.000308737,80.0
318,0.000308261,81.0
86,0.000308071,82.0
192,0.000307882,83.0
340,0.000307882,83.0
95,0.000307503,84.0
315,0.000307409,85.0
173,0.000306843,86.0
247,0.000306466,87.0
39,0.000306279,88.0
343,0.000305904,89.0
229,0.000305623,90.0
110,0.000305157,91.0
403,0.000304971,92.0
400,0.000304229,93.0
401,0.000304229,93.0
402,0.000304229,93.0
221,0.00030349,94.0
260,0.00030248,95.0
209,0.000302115,96.0
387,0.000302024,97.0
246,0.00030175,98.0
94,0.000301659,99.0
358,0.000301477,100.0
259,0.000301386,101.0
154,0.000301296,102.0
264,0.000301205,103.0
123,0.000300752,104.0
223,0.000300391,105.0
341,0.000300391,105.0
359,0.00030012,106.0
232,0.00030003,107.0
345,0.00029994,108.0
410,0.00029994,108.0
224,0.00029976,109.0
484,0.000299222,110.0
321,0.000298954,111.0
348,0.000298686,112.0
147,0.000298329,113.0
424,0.000298063,114.0
90,0.000295946,115.0
233,0.000295421,116.0
426,0.000295421,116.0
230,0.000295421,116.0
354,0.000295247,117.0
412,0.000294985,118.0
360,0.000294377,119.0
367,0.000294377,119.0
262,0.000294118,120.0
281,0.000294031,121.0
104,0.000293945,122.0
257,0.000293686,123.0
3,0.0002936,124.0
300,0.000293427,125.0
383,0.000293427,125.0
302,0.000293255,126.0
384,0.000293083,127.0
285,0.000292997,128.0
282,0.000292912,129.0
218,0.00029274,130.0
325,0.000292654,131.0
2,0.000292056,132.0
286,0.000292056,132.0
433,0.000292056,132.0
66,0.00029146,133.0
111,0.000291375,134.0
389,0.000291375,134.0
310,0.000291206,135.0
363,0.000291206,135.0
191,0.000291121,136.0
425,0.000290951,137.0
226,0.000290529,138.0
242,0.000290444,139.0
370,0.000290107,140.0
194,0.000289855,141.0
215,0.000289771,142.0
179,0.000289436,143.0
21,0.000288517,144.0
5,0.000288434,145.0
6,0.000288351,146.0
8,0.000287687,147.0
108,0.000287439,148.0
268,0.000287274,149.0
267,0.000287191,150.0
234,0.000286697,151.0
346,0.000285714,152.0
347,0.000285714,152.0
107,0.000285633,153.0
269,0.000285551,154.0
235,0.000285063,155.0
58,0.000284414,156.0
369,0.000283768,157.0
368,0.000283768,157.0
265,0.000282167,158.0
67,0.000280112,159.0
248,0.000279564,160.0
421,0.00027933,161.0
467,0.000279096,162.0
394,0.000279018,163.0
35,0.000278784,164.0
393,0.000278396,165.0
353,0.000277855,166.0
15,0.000277778,167.0
317,0.000277778,167.0
356,0.000277701,168.0
417,0.000277624,169.0
165,0.000277008,170.0
294,0.000276932,171.0
449,0.000276549,172.0
61,0.000276549,172.0
158,0.000276396,173.0
222,0.000275862,174.0
385,0.000275862,174.0
13,0.000275786,175.0
411,0.000274876,176.0
164,0.000274876,176.0
166,0.000274876,176.0
163,0.000274801,177.0
167,0.000274801,177.0
453,0.000274198,178.0
457,0.000274048,179.0
92,0.000273673,180.0
93,0.000273598,181.0
91,0.000273523,182.0
272,0.000273523,182.0
270,0.000273523,182.0
413,0.000272851,183.0
423,0.000272109,184.0
459,0.000272035,185.0
319,0.000271961,186.0
19,0.000271813,187.0
20,0.000271739,188.0
18,0.000271592,189.0
293,0.000271297,190.0
241,0.00027115,191.0
456,0.00027115,191.0
455,0.000270856,192.0
109,0.000269833,193.0
263,0.000269687,194.0
71,0.000269687,194.0
366,0.000269614,195.0
266,0.000269251,196.0
12,0.000268962,197.0
419,0.000268889,198.0
418,0.000268889,198.0
159,0.000268817,199.0
160,0.000268817,199.0
180,0.000268456,200.0
458,0.000268384,201.0
395,0.00026738,202.0
396,0.00026738,202.0
172,0.000266454,203.0
444,0.000266312,204.0
365,0.00026617,205.0
170,0.00026617,205.0
98,0.000266028,206.0
445,0.000265957,207.0
496,0.000265534,208.0
105,0.000265393,209.0
471,0.000265393,209.0
40,0.000265322,210.0
144,0.000265252,211.0
491,0.000265252,211.0
446,0.000264901,212.0
238,0.000264271,213.0
118,0.000264201,214.0
388,0.000263922,215.0
271,0.000263435,216.0
258,0.000263366,217.0
326,0.000263227,218.0
120,0.000263227,218.0
371,0.00026295,219.0
213,0.000262605,220.0
284,0.000262536,221.0
364,0.000262398,222.0
292,0.000261849,223.0
472,0.000261575,224.0
355,0.000261438,225.0
327,0.000260485,226.0
328,0.000260485,226.0
34,0.000259943,227.0
139,0.000259471,228.0
252,0.000259403,229.0
49,0.000258598,230.0
51,0.000258465,231.0
448,0.000258398,232.0
162,0.000258331,233.0
168,0.000258264,234.0
169,0.000258198,235.0
