Starting Node,Average Spreading Ability
1,12.64
2,6.47
3,9.02
4,13.45
5,6.25
6,5.64
7,11.81
8,2.79
9,14.76
10,22.25
11,2.21
12,6.79
13,3.89
14,4.6
15,3.27
16,2.13
17,2.31
18,2.55
19,3.56
20,3.66
21,11.72
22,7.49
23,1.36
24,3.3
25,3.83
26,3.09
27,3.09
28,3.92
29,2.1
30,2.51
31,1.74
32,1.76
33,1.86
34,4.5
35,3.43
36,2.48
37,6.01
38,3.14
39,7.94
40,2.57
41,1.95
42,1.46
43,3.66
44,2.79
45,1.27
46,2.0
47,3.18
48,1.45
49,5.52
50,9.81
51,6.19
52,2.28
53,3.89
54,2.81
55,2.08
56,5.13
57,2.02
58,4.7
59,4.16
60,2.02
61,7.99
62,33.07
63,2.49
64,3.15
65,3.03
66,4.0
67,5.73
68,18.8
69,2.43
70,3.86
71,6.72
72,2.21
73,1.69
74,1.46
75,1.36
76,2.05
77,1.39
78,2.6
79,1.59
80,6.89
81,12.54
82,16.35
83,17.1
84,15.27
85,6.9
86,5.4
87,15.72
88,27.83
89,21.36
90,6.91
91,4.9
92,4.1
93,6.16
94,5.44
95,8.79
96,13.59
97,20.9
98,2.02
99,1.74
100,3.59
101,3.38
102,3.09
103,3.45
104,8.09
105,3.76
106,1.88
107,6.45
108,4.43
109,4.58
110,10.05
111,8.2
112,1.85
113,3.47
114,1.38
115,1.39
116,1.99
117,2.11
118,3.12
119,1.82
120,7.5
121,2.89
122,4.19
123,22.51
124,3.83
125,3.49
126,1.98
127,3.49
128,7.94
129,9.32
130,9.85
131,8.63
132,9.81
133,8.44
134,9.01
135,8.8
136,1.79
137,2.0
138,2.82
139,1.89
140,2.84
141,1.58
142,2.47
143,1.42
144,4.1
145,1.49
146,2.31
147,4.99
148,36.1
149,31.69
150,34.58
151,38.06
152,27.42
153,35.15
154,29.19
155,32.25
156,31.16
157,37.03
158,6.94
159,2.12
160,2.21
161,3.01
162,11.67
163,13.37
164,11.56
