Node,Score,Rank
39,0.023255814,1.0
36,0.020833333,2.0
35,0.016393443,3.0
8,0.015873016,4.0
22,0.015873016,4.0
38,0.015384615,5.0
1,0.015384615,5.0
23,0.015151515,6.0
7,0.015151515,6.0
2,0.015151515,6.0
12,0.014925373,7.0
13,0.014492754,8.0
11,0.014492754,8.0
18,0.014492754,8.0
15,0.014492754,8.0
19,0.014492754,8.0
27,0.014492754,8.0
9,0.014285714,9.0
14,0.014285714,9.0
33,0.014084507,10.0
32,0.014084507,10.0
26,0.014084507,10.0
30,0.013888889,11.0
25,0.013888889,11.0
3,0.013888889,11.0
28,0.013888889,11.0
10,0.013888889,11.0
29,0.013888889,11.0
31,0.01369863,12.0
6,0.01369863,12.0
5,0.01369863,12.0
4,0.01369863,12.0
21,0.01369863,12.0
16,0.01369863,12.0
24,0.013513514,13.0
20,0.013513514,13.0
17,0.013513514,13.0
37,0.010989011,14.0
34,0.010309278,15.0
