feature,score,rank
Clustering Coefficient,0.03836858639020882,1
Global Relative Change in Avg Clustering,0.024988152452572413,2
P Value,0.020970691223331926,3
Node H-Index,0.017068673601410945,4
Leverage Centrality,0.015007717781920178,5
Clustered Local Degree,0.014341426869183502,6
HCC Value,0.01413856045665458,7
Constraint Coefficients,0.0069848485695035364,8
Semi local centrality,0.006966818558633573,9
CLC Values,0.006617485583788263,10
Extended Coreness,0.006487963026533498,11
Societal Capital Scores,0.005600566293936366,12
Extended Degree,0.005138070665871463,13
Second order centrality,0.004956211027399238,14
EIGSM Values,0.0036744749522903217,15
HVGc Index,0.0033814233177978433,16
EHCC Value,0.0033653072215036298,17
Eigenvector Centrality,0.0033085432502363197,18
Improved Gravity Index Values,0.002946372152651799,19
DNC Scores,0.0027000930962679495,20
PageRank Centrality,0.0024674021849673947,21
Global Relative Change in Avg Degree,0.002397511519424589,22
Centrality Values,0.002394226161321483,23
Extended Improved Gravity Index Values,0.0023387469690991083,24
Coreness Centrality,0.0023255224088963235,25
Degree Centrality,0.002299449655984326,26
PE Values,0.0021467614687083587,27
I-GSM Values,0.0020869647635495423,28
K-Shell Value,0.0020282596199658444,29
MDD Value,0.0019178822193333428,30
GSM,0.0018809669911076638,31
Gravity Index Centrality,0.001814479570176975,32
GGC Values,0.001560988670022526,33
Subgraph centrality,0.0014515043176108714,34
Local-Global Centrality,0.0013815602743638459,35
GIN Values,0.001380888996468283,36
Closeness Centrality,0.0013261288792234878,37
Gravity Model Centrality,0.0013161086918697744,38
MCGM Values,0.0013130601487950297,39
Volume Centrality,0.0012335503405480075,40
Laplacian Centrality,0.0010648757102114119,41
DIL Centrality,0.0010587151279718354,42
Local Gravity Model Centrality,0.001025797399278509,43
LGC Scores,0.0009089937986331603,44
Density Centrality,0.0008143564371595606,45
H Values,0.0007753806457277143,46
Eccentricity Centrality,0.0005004678282859824,47
H-GSM_1,0.00022345304343226733,48
Betweenness Centrality,0.0001782573665190199,49
Isolating Centrality,5.9780816903492666e-05,50
