Starting Node,Average Spreading Ability
6,9.86
1,9.84
8,9.31
45,8.34
54,12.71
89,9.0
76,3.23
85,3.4
28,6.42
38,6.82
39,4.8
42,4.19
72,11.52
9,6.61
10,5.52
19,5.76
29,6.48
36,4.03
37,3.82
47,4.57
51,7.74
61,7.2
67,4.52
92,4.92
93,9.16
56,9.02
2,3.24
11,4.83
52,3.09
80,3.21
90,4.35
75,3.94
3,3.01
13,2.44
66,3.29
4,2.68
16,3.12
5,4.19
17,2.6
20,2.93
40,4.63
59,2.12
15,4.39
34,3.68
48,4.6
31,5.85
35,2.75
43,4.72
58,3.44
74,6.78
79,3.56
83,3.79
26,3.63
46,3.41
64,4.74
82,3.62
84,3.3
86,4.16
7,3.61
95,4.85
25,3.1
32,2.36
78,3.06
50,2.75
44,4.31
62,4.62
69,3.38
63,2.29
94,1.88
12,3.03
21,2.51
33,2.3
24,1.58
41,3.18
14,2.29
81,2.84
88,1.6
77,1.56
96,1.27
18,1.62
53,4.41
22,2.65
27,2.2
57,2.03
70,2.42
65,2.09
68,3.79
91,1.59
23,2.98
30,1.75
55,2.12
60,2.32
71,1.86
73,1.69
87,1.9
49,1.39
