Starting Node,Average Spreading Ability,Node,Rank
1,2.96,1,276.0
2,1.26,2,421.0
3,1.9,3,360.0
4,1.9,4,360.0
5,1.48,5,399.0
6,2.01,6,350.0
7,1.39,7,408.0
8,1.22,8,425.0
9,1.34,9,413.0
10,1.26,10,421.0
11,2.01,11,350.0
12,2.61,12,299.0
13,1.49,13,398.0
14,1.32,14,415.0
15,1.24,15,423.0
16,1.09,16,438.0
17,1.55,17,393.0
18,1.48,18,399.0
19,1.51,19,396.0
20,1.64,20,385.0
21,1.39,21,408.0
22,1.28,22,419.0
23,1.13,23,434.0
24,1.08,24,439.0
25,1.45,25,402.0
26,1.23,26,424.0
27,1.92,27,358.0
28,4.35,28,191.0
29,1.31,29,416.0
30,1.5,30,397.0
31,1.52,31,395.0
32,1.3,32,417.0
33,1.15,33,432.0
34,1.28,34,419.0
35,1.07,35,440.0
36,1.51,36,396.0
37,1.35,37,412.0
38,2.99,38,273.0
39,2.37,39,320.0
40,1.16,40,431.0
41,1.85,41,365.0
42,1.15,42,432.0
43,1.36,43,411.0
44,28.56,44,1.0
45,1.1,45,437.0
46,1.79,46,371.0
47,1.28,47,419.0
48,2.96,48,276.0
49,2.96,49,276.0
50,3.85,50,218.0
51,1.97,51,353.0
52,2.3,52,327.0
53,1.13,53,434.0
54,3.26,54,253.0
55,2.57,55,302.0
56,1.15,56,432.0
57,1.31,57,416.0
58,2.16,58,338.0
59,1.25,59,422.0
60,6.27,60,119.0
61,2.53,61,306.0
62,6.56,62,110.0
63,4.69,63,177.0
64,2.91,64,279.0
65,20.97,65,6.0
66,2.76,66,289.0
67,2.37,67,320.0
68,1.66,68,383.0
69,3.16,69,261.0
70,2.34,70,323.0
71,3.72,71,227.0
72,15.0,72,16.0
73,3.0,73,272.0
74,6.3,74,118.0
75,2.19,75,335.0
76,10.31,76,45.0
77,8.76,77,77.0
78,2.19,78,335.0
79,8.94,79,72.0
80,1.82,80,368.0
81,13.23,81,24.0
82,11.19,82,38.0
83,24.19,83,4.0
84,12.59,84,27.0
85,10.16,85,47.0
86,3.12,86,263.0
87,1.28,87,419.0
88,19.95,88,8.0
89,3.29,89,250.0
90,9.59,90,56.0
91,1.3,91,417.0
92,12.31,92,31.0
93,20.86,93,7.0
94,13.87,94,20.0
95,15.75,95,12.0
96,5.13,96,155.0
97,11.27,97,36.0
98,8.8,98,76.0
99,4.26,99,194.0
100,9.23,100,63.0
101,13.93,101,19.0
102,12.4,102,28.0
103,27.72,103,2.0
104,13.44,104,23.0
105,9.36,105,60.0
106,18.07,106,10.0
107,3.28,107,251.0
108,6.73,108,108.0
109,15.7,109,13.0
110,9.4,110,59.0
111,5.2,111,151.0
112,14.63,112,18.0
113,4.71,113,176.0
114,6.03,114,128.0
115,7.31,115,99.0
116,14.82,116,17.0
117,11.42,117,34.0
118,7.71,118,89.0
119,4.2,119,197.0
120,3.83,120,220.0
121,19.26,121,9.0
122,3.63,122,232.0
123,6.05,123,126.0
124,3.84,124,219.0
125,1.66,125,383.0
126,1.72,126,378.0
127,5.97,127,130.0
128,1.17,128,430.0
129,1.76,129,374.0
130,3.98,130,209.0
131,1.15,131,432.0
132,1.15,132,432.0
133,1.05,133,442.0
134,1.11,134,436.0
135,2.8,135,286.0
136,1.39,136,408.0
137,3.26,137,253.0
138,1.76,138,374.0
139,1.22,139,425.0
140,1.31,140,416.0
141,1.95,141,355.0
142,1.47,142,400.0
143,3.26,143,253.0
144,2.2,144,334.0
145,3.22,145,256.0
146,4.15,146,199.0
147,1.56,147,392.0
148,1.48,148,399.0
149,1.63,149,386.0
150,2.15,150,339.0
151,2.42,151,315.0
152,1.77,152,373.0
153,1.11,153,436.0
154,3.73,154,226.0
155,1.04,155,443.0
156,1.09,156,438.0
157,1.18,157,429.0
158,1.08,158,439.0
159,1.13,159,434.0
160,1.15,160,432.0
161,1.12,161,435.0
162,1.1,162,437.0
163,2.8,163,286.0
164,1.11,164,436.0
165,4.23,165,195.0
166,3.7,166,228.0
167,2.35,167,322.0
168,2.14,168,340.0
169,1.33,169,414.0
170,3.12,170,263.0
171,5.58,171,140.0
172,2.38,172,319.0
173,3.58,173,234.0
174,3.34,174,248.0
175,2.08,175,345.0
176,1.14,176,433.0
177,3.0,177,272.0
178,7.79,178,88.0
179,1.75,179,375.0
180,1.62,180,387.0
181,1.11,181,436.0
182,10.98,182,41.0
183,10.94,183,42.0
184,2.31,184,326.0
185,6.37,185,114.0
186,3.37,186,245.0
187,1.37,187,410.0
188,3.58,188,234.0
189,2.72,189,292.0
190,3.66,190,231.0
191,3.27,191,252.0
192,3.58,192,234.0
193,3.05,193,269.0
194,2.92,194,278.0
195,14.63,195,18.0
196,2.9,196,280.0
197,9.18,197,64.0
198,10.44,198,43.0
199,9.08,199,69.0
200,5.37,200,147.0
201,5.65,201,139.0
202,4.83,202,168.0
203,1.6,203,389.0
204,2.17,204,337.0
205,1.1,205,437.0
206,1.11,206,436.0
207,1.18,207,429.0
208,1.42,208,405.0
209,2.27,209,329.0
210,4.8,210,170.0
211,1.32,211,415.0
212,1.39,212,408.0
213,2.47,213,310.0
214,3.55,214,237.0
215,2.08,215,345.0
216,4.98,216,162.0
217,3.37,217,245.0
218,1.14,218,433.0
219,2.67,219,296.0
220,1.16,220,431.0
221,1.14,221,433.0
222,3.75,222,224.0
223,3.94,223,213.0
224,2.75,224,290.0
225,5.22,225,150.0
226,3.84,226,219.0
227,9.81,227,50.0
228,2.02,228,349.0
229,4.64,229,178.0
230,8.98,230,71.0
231,8.73,231,78.0
232,4.43,232,187.0
233,4.0,233,207.0
234,4.22,234,196.0
235,12.21,235,32.0
236,7.66,236,90.0
237,1.87,237,363.0
238,3.46,238,243.0
239,2.49,239,309.0
240,6.19,240,122.0
241,11.8,241,33.0
242,6.39,242,112.0
243,4.76,243,173.0
244,7.64,244,91.0
245,10.34,245,44.0
246,5.9,246,133.0
247,5.02,247,160.0
248,6.31,248,117.0
249,4.84,249,167.0
250,8.14,250,83.0
251,21.69,251,5.0
252,5.17,252,153.0
253,7.44,253,95.0
254,3.68,254,230.0
255,11.01,255,40.0
256,4.37,256,190.0
257,8.09,257,84.0
258,13.55,258,22.0
259,9.09,259,68.0
260,5.1,260,157.0
261,11.22,261,37.0
262,6.94,262,104.0
263,4.98,263,162.0
264,6.38,264,113.0
265,5.38,265,146.0
266,7.34,266,98.0
267,4.23,267,195.0
268,27.15,268,3.0
269,12.35,269,29.0
270,10.29,270,46.0
271,9.79,271,51.0
272,9.16,272,65.0
273,16.52,273,11.0
274,7.63,274,92.0
275,9.42,275,57.0
276,9.86,276,49.0
277,6.78,277,107.0
278,3.25,278,254.0
279,13.63,279,21.0
280,9.73,280,52.0
281,4.82,281,169.0
282,4.64,282,178.0
283,4.26,283,194.0
284,6.16,284,123.0
285,1.07,285,440.0
286,1.22,286,425.0
287,4.0,287,207.0
288,5.96,288,131.0
289,1.91,289,359.0
290,1.76,290,374.0
291,2.56,291,303.0
292,1.3,292,417.0
293,1.9,293,360.0
294,1.79,294,371.0
295,1.56,295,392.0
296,4.42,296,188.0
297,2.52,297,307.0
298,5.76,298,137.0
299,2.86,299,282.0
300,4.73,300,175.0
301,6.35,301,115.0
302,4.02,302,206.0
303,3.98,303,209.0
304,3.3,304,249.0
305,9.13,305,66.0
306,4.89,306,164.0
307,8.68,307,79.0
308,2.88,308,281.0
309,9.41,309,58.0
310,4.06,310,204.0
311,4.78,311,172.0
312,6.1,312,124.0
313,9.11,313,67.0
314,5.79,314,136.0
315,15.22,315,15.0
316,7.71,316,89.0
317,8.31,317,81.0
318,12.63,318,25.0
319,9.02,319,70.0
320,15.32,320,14.0
321,6.08,321,125.0
322,7.06,322,103.0
323,6.04,323,127.0
324,4.09,324,202.0
325,2.44,325,313.0
326,3.95,326,212.0
327,4.75,327,174.0
328,6.87,328,105.0
329,5.27,329,148.0
330,5.18,330,152.0
331,12.32,331,30.0
332,4.58,332,183.0
333,5.08,333,159.0
334,3.19,334,259.0
335,4.28,335,193.0
336,6.16,336,123.0
337,3.55,337,237.0
