Lambda,Kendall_Tau,P_Value
0.0071,0.7457586978674722,1.2602836127272186e-260
0.0087,0.7290762561806505,7.529260521449414e-250
0.0103,0.7206868717619597,1.0773642873167635e-244
0.0119,0.700915728599428,6.904164399634674e-232
0.0135,0.6964328312225263,3.732550184814202e-229
0.015,0.6894911130522949,8.829523875199656e-225
0.0166,0.700126497741505,8.869158970401613e-232
0.0182,0.7115379881604968,2.2522405852484126e-239
0.0198,0.7207615985782557,1.4038295691943232e-245
0.0214,0.7270524385820535,7.333739973306147e-250
